# id,sales,country,currency_code,sales_rub
8,184.63,Finland,EUR,15946.6229
15,51.86,Ukraine,UAH,112.5202
6,305.31,Finland,EUR,26369.8394
19,347.38,Finland,EUR,30003.4548
7,327.95,Netherlands,EUR,28325.2721
16,293.16,Ukraine,UAH,636.0668
7,166.26,New Zealand,NZD,8164.4078
4,265.2,Ukraine,UAH,575.4022
13,180.38,Norway,NOK,1319.0879
17,125.06,Finland,EUR,10801.5201
8,149.94,Finland,EUR,12950.4232
14,57.05,Norway,NOK,417.1968
4,94.81,Ukraine,UAH,205.7085
16,170.04,New Zealand,NZD,8350.0295
16,253.17,Finland,EUR,21866.4709
9,211.4,Ukraine,UAH,458.6728
3,67.44,Ukraine,UAH,146.324
15,17.87,Ukraine,UAH,38.7724
12,135.9,Finland,EUR,11737.7785
13,60.76,Netherlands,EUR,5247.8839
1,16.03,Ukraine,UAH,34.7802
1,320.92,New Zealand,NZD,15759.1829
18,54.91,Finland,EUR,4742.6153
2,176.63,Netherlands,EUR,15255.6573
9,228.43,Netherlands,EUR,19729.6597
1,166.78,Ukraine,UAH,361.8612
14,205.16,Ukraine,UAH,445.1339
3,206.74,Finland,EUR,17856.2792
19,26.4,Norway,NOK,193.0587
15,93.93,Netherlands,EUR,8112.8001
2,218.73,Finland,EUR,18891.8639
8,47.06,New Zealand,NZD,2310.9409
4,228.26,Finland,EUR,19714.9767
14,267.83,New Zealand,NZD,13152.1312
2,156.31,Netherlands,EUR,13500.6046
3,53.38,Norway,NOK,390.3588
2,164.14,Norway,NOK,1200.3276
18,304.44,Netherlands,EUR,26294.6968
11,62.24,Ukraine,UAH,135.0416
3,325.77,Netherlands,EUR,28136.9839
18,166.03,New Zealand,NZD,8153.1133
17,266.76,Finland,EUR,23040.2487
16,265.87,Finland,EUR,22963.3788
3,244.57,Norway,NOK,1788.4984
1,98.73,New Zealand,NZD,4848.2616
6,101.05,Finland,EUR,8727.7595
5,191.01,New Zealand,NZD,9379.7879
1,103.88,Finland,EUR,8972.1886
11,62.08,Finland,EUR,5361.8932
10,272.7,Ukraine,UAH,591.6749
